ticker,nome,setor,prob_alta,sinal,acuracia,auc,pr_auc,f1,threshold,modelo_usado,base_pr,auc_lr,pr_auc_lr,auc_lgb,pr_auc_lgb,n_pregoes,score
BMGB4.SA,Banco BMG S.A.,Financeiro e Bancos,0.4837,AGUARDAR,0.5149,0.5140,0.5166,0.1094,0.5200,LightGBM,0.4979,0.4849,0.5122,0.5140,0.5166,1565,0.5025
FESA4.SA,Cia de Ferro Ligas da Bahia S.A. - FERBASA,Mineração e Siderurgia,0.5570,COMPRAR,0.4706,0.4904,0.4247,0.3136,0.5200,LogReg,0.4379,0.4904,0.4247,0.4767,0.4215,2039,0.5006
GOAU4.SA,Metalurgica Gerdau S.A.,Mineração e Siderurgia,0.5226,COMPRAR,0.4837,0.4899,0.4792,0.3780,0.5200,LogReg,0.5000,0.4899,0.4792,0.4787,0.4874,2039,0.5003
CEAB3.SA,C&A Modas S.A.,Varejo e Consumo,0.4501,AGUARDAR,0.5000,0.5144,0.5513,0.0000,0.5200,LightGBM,0.5000,0.5060,0.4731,0.5144,0.5513,1581,0.4979
EVEN3.SA,Even Construtora e Incorporadora S.A.,Construção e Imóveis,0.4903,NEUTRO,0.5098,0.4910,0.5176,0.3478,0.5200,LightGBM,0.5098,0.4886,0.4909,0.4910,0.5176,2039,0.4974
FLRY3.SA,Fleury S.A.,Saúde e Farmácia,0.5203,COMPRAR,0.4935,0.4964,0.4575,0.3969,0.5200,LogReg,0.4608,0.4964,0.4575,0.4454,0.4498,2039,0.4962
GGBR4.SA,Gerdau S.A.,Mineração e Siderurgia,0.4810,AGUARDAR,0.5261,0.5201,0.4862,0.2927,0.5200,LogReg,0.4706,0.5201,0.4862,0.4694,0.4551,2039,0.4960
POSI3.SA,Positivo Tecnologia S.A.,Tecnologia,0.4491,AGUARDAR,0.5229,0.5363,0.5085,0.0000,0.5200,LightGBM,0.4771,0.5269,0.5019,0.5363,0.5085,2039,0.4945
ONCO3.SA,Oncoclínicas do Brasil Serviços Médicos S.A.,Saúde e Farmácia,0.4745,AGUARDAR,0.5476,0.5466,0.4511,0.4722,0.5200,LogReg,0.4286,0.5466,0.4511,0.5059,0.4314,1119,0.4939
CAML3.SA,Camil Alimentos S.A.,Alimentos e Bebidas,0.5029,NEUTRO,0.5458,0.5053,0.4600,0.0000,0.5200,LightGBM,0.4542,0.4892,0.4461,0.5053,0.4600,2039,0.4930
TRIS3.SA,Trisul S.A.,Construção e Imóveis,0.4845,AGUARDAR,0.4804,0.4861,0.5132,0.3563,0.5200,LogReg,0.5261,0.4861,0.5132,0.4677,0.4987,2039,0.4922
RAIL3.SA,Rumo S.A.,Logística e Transporte,0.4693,AGUARDAR,0.5196,0.5046,0.5083,0.4494,0.5200,LogReg,0.4967,0.5046,0.5083,0.4798,0.4853,2039,0.4914
RECV3.SA,Petroreconcavo S.A.,Petróleo e Gás,0.4816,AGUARDAR,0.5246,0.5014,0.4902,0.0000,0.5200,LightGBM,0.4754,0.4351,0.4436,0.5014,0.4902,1215,0.4907
VAMO3.SA,"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.",Logística e Transporte,0.4763,AGUARDAR,0.5521,0.5227,0.4636,0.4756,0.5200,LogReg,0.4427,0.5227,0.4636,0.5146,0.4514,1277,0.4894
ENGI11.SA,Energisa S.A.,Energia Elétrica,0.3990,AGUARDAR,0.5098,0.5472,0.5272,0.1071,0.5200,LogReg,0.4967,0.5472,0.5272,0.5334,0.5180,2039,0.4829
HBOR3.SA,Helbor Empreendimentos S.A.,Construção e Imóveis,0.4660,AGUARDAR,0.4902,0.4913,0.4955,0.0000,0.5200,LightGBM,0.5098,0.4805,0.4949,0.4913,0.4955,2039,0.4822
VIVT3.SA,Telefônica Brasil S.A.,Telecomunicações,0.3251,AGUARDAR,0.4379,0.5448,0.6427,0.1313,0.5200,LogReg,0.5915,0.5448,0.6427,0.4957,0.6077,2039,0.4814
IRBR3.SA,IRB-Brasil Resseguros S.A.,Financeiro e Bancos,0.4879,AGUARDAR,0.4804,0.4802,0.4700,0.0364,0.5200,LightGBM,0.5000,0.4788,0.4812,0.4802,0.4700,2039,0.4807
CMIG4.SA,Companhia Energética de Minas Gerais - CEMIG,Energia Elétrica,0.3229,AGUARDAR,0.5425,0.5684,0.6053,0.3204,0.5200,LogReg,0.5163,0.5684,0.6053,0.4512,0.4907,2039,0.4794
